province_code,order,number,name,hall_postcode,meets_text,installation_text,source_url
durham,craft_lodge,6462,Gyrwy Lodge,NE32 3LD,"Second Thursday of each month, excepting July and August. The annual festival and installation meeting is held in September.",,https://durhamfreemasons.org/lodges/lodge.php?slug=gyrwy-l6462
durham,craft_lodge,6533,Hetton Lyon Lodge,DH5 9JB,2nd Thursday,,https://durhamfreemasons.org/lodges/lodge.php?slug=hetton-lyon-l6533
durham,craft_lodge,6550,Ryton St Marys Lodge,NE40 3AE,The 4th Monday of the month September to June (3rd Monday in December.) Installation is in April.,,https://durhamfreemasons.org/lodges/lodge.php?slug=ryton-st-marys
durham,craft_lodge,6645,Eardulph Lodge,DH3 3DU,"2nd Friday of each month, except July and August. Installation November",,https://durhamfreemasons.org/lodges/lodge.php?slug=eardulph-l6645
durham,craft_lodge,6678,County Lodge,DL3 6LS,We meet 9 times a year. The 3rd Wednesday in January (March Installation) to May & September to December,,https://durhamfreemasons.org/lodges/lodge.php?slug=county-l6678
durham,craft_lodge,6767,Windgate Lodge,TS27 4SD,Fourth Thursday of the month February till November. Installation is March.,,https://durhamfreemasons.org/lodges/lodge.php?slug=windgate-l6767
durham,craft_lodge,6859,Lodge of Concord,SR1 2HT,We meet 1st Friday in September to May - Installation October,,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-of-concord-no-6859
durham,craft_lodge,6874,Flambard Lodge,DH1 3HN,"Fourth Monday, January, March, April, June, September, October (Installation), November.",,https://durhamfreemasons.org/lodges/lodge.php?slug=flambard-l6874
durham,craft_lodge,6891,Beacon Lodge,DL13 4LE,We meet - 1st Thursday in the month from March to June and from September (when we install a new Worshipful Master) to December.,,https://durhamfreemasons.org/lodges/lodge.php?slug=beacon-6891
durham,craft_lodge,6901,Crowley Lodge,NE11 9TJ,Third Friday of each month September to June. Installation Meeting - February.,,https://durhamfreemasons.org/lodges/lodge.php?slug=crowley-lodge-6901
durham,craft_lodge,7059,Finchale Priory Lodge,DH3 3DU,"The Lodge meets ten times a year on the second Wednesday of the month, January to June and September to December. Our December meeting is held on the second Monday! We begin at 6:45pm. The Installation of a new Master and his officers takes place at the February meeting.",,https://durhamfreemasons.org/lodges/lodge.php?slug=finchale-priory-l7059
durham,craft_lodge,7102,Quest Lodge,SR7 7AA,"1st Tuesday of the Month, February to June and September to December. Our Installation is in February. Our Scout Uniform meeting is in September. Our Ladies Night is held in January.",,https://durhamfreemasons.org/lodges/lodge.php?slug=quest-l7102
durham,craft_lodge,7165,Ellison Hall Lodge,NE32 3LD,3rd. Thursday in month (except July & August).,,https://durhamfreemasons.org/lodges/lodge.php?slug=ellison-hall-l7165
durham,craft_lodge,7179,Conside Lodge,DH8 5AS,We meet on the second Wednesday in the months October to April,,https://durhamfreemasons.org/lodges/lodge.php?slug=conside-l7179
durham,craft_lodge,7201,Hebburn Lodge,NE32 3LD,19.00 Fourth Monday in each month (except July and August) November (Installation Meeting) with the December meeting being held on the 3rd Monday at 19.00.,,https://durhamfreemasons.org/lodges/lodge.php?slug=hebburn-l7201
durham,craft_lodge,7248,Wear Lecture Lodge,SR2 7DX,"4th Friday October (Installation), November, March and April.",,https://durhamfreemasons.org/lodges/lodge.php?slug=wear-lecture-l7248
durham,craft_lodge,7292,Tower Lodge,DH9 8AD,3rd Tuesday March-December. Installation October.,,https://durhamfreemasons.org/lodges/lodge.php?slug=tower-l7292
durham,craft_lodge,7344,King Oswald Lodge,DH8 5TB,4th Tuesday. December 2nd Friday. Closed July & August.,,https://durhamfreemasons.org/lodges/lodge.php?slug=3088-2
durham,craft_lodge,7478,Eanred Lodge,TS23 1HF,Second Monday in Sept to Jun (Installation May.),,https://durhamfreemasons.org/lodges/lodge.php?slug=3078-2
durham,craft_lodge,7486,Milbanke Lodge,DL3 6LS,3rd Tuesday of every month 6.45pm (6 meetings per year).,,https://durhamfreemasons.org/lodges/lodge.php?slug=milbanke-l7486
durham,craft_lodge,7741,Agricola Lodge,DH1 3HN,"3rd Friday of Jan, Feb, Mach, April, Oct and Nov.",,https://durhamfreemasons.org/lodges/lodge.php?slug=agricola-l7741
durham,craft_lodge,7768,Beaconsfield Lodge,NE8 1RB,"First Tuesday February, April (Installation) July and November.",,https://durhamfreemasons.org/lodges/lodge.php?slug=beaconsfield-l7768
durham,craft_lodge,7773,Heugh Lodge,TS24 8AH,"Monthly, on the third wednesday of each month. We do not meet in July and August. Start time is 7pm however the bar will be open from about 6:30pm so that members can catch up with the latest news. Our yearly “ Installation” meeting in September starts a little earlier.",,https://durhamfreemasons.org/lodges/lodge.php?slug=heugh-l7773
durham,craft_lodge,7807,Benfeldsyde Lodge,DH8 5TB,"First Saturday of the Month May, June, September, October, November, December, February and March",,https://durhamfreemasons.org/lodges/lodge.php?slug=benfeldsyde-l7807
durham,craft_lodge,7856,Ernest Dixon Lodge,SR2 7DX,"The Lodge meets nine times a year; on the 4th Monday of the Months of January to May, and September to November, and on the 2nd Monday in December. Lodge proceedings normally start at 7:00pm. The Installation of a new Master and his officers takes place at the January meeting.",,https://durhamfreemasons.org/lodges/lodge.php?slug=ernest-dixon-l7856
durham,craft_lodge,7908,Manor Lodge,DL17 8HX,"2nd Monday every month except July, August & September - Installation May",,https://durhamfreemasons.org/lodges/lodge.php?slug=manor-l7908
durham,craft_lodge,8100,Old Dunelmian Lodge,DH1 3HN,"2nd Friday in January, April, July (Installation held at Durham School), September and December 3rd Friday in May We meet at 1845 hrs on all occasions except the Installation which starts at 1730 hrs at Durham School Luce Theatre.",,https://durhamfreemasons.org/lodges/lodge.php?slug=old-dunelmian-l8100
durham,craft_lodge,8162,Eden Lodge,TS27 4SD,Last Monday of the month February till November Installation is April.,,https://durhamfreemasons.org/lodges/lodge.php?slug=eden-l8162
durham,craft_lodge,8259,Lodge of Progress,DH3 3DU,Third Friday of every month with the exception of July and August.,,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-of-progress-l8259
durham,craft_lodge,8308,Kepier Lodge,DH5 9JB,1st Wednesday of the month November-July. Installation October.,,https://durhamfreemasons.org/lodges/lodge.php?slug=kepier-l8308
durham,craft_lodge,8551,Jarrow Grange Lodge,NE32 3LD,2nd Monday in September to June Installation March. 7pm Start Installation 5/5.30pm,,https://durhamfreemasons.org/lodges/lodge.php?slug=jarrow-grange-l8551
durham,craft_lodge,8613,Sanctuary Lodge,DH1 3HN,"We meet seven times a year on the second Monday in February, March, April, May, September, October & November. The start time for the evening is usually 6.45pm except for our February Installation meeting which is usually starts at 5.30pm.",,https://durhamfreemasons.org/lodges/lodge.php?slug=sanctuary-l8613
durham,craft_lodge,8635,Lodge of Loyalty,SR1 2HT,We meet on the second Tuesday in the month except for July and August which is our summer recess.,,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-of-loyalty-l8635
durham,craft_lodge,8800,Aycliffe Lodge,DL17 8HX,"3rd Tuesday of the month, excluding July and August.",,https://durhamfreemasons.org/lodges/lodge.php?slug=aycliffe-l8800
durham,craft_lodge,8931,Winlaton St Pauls Lodge,NE11 9TJ,"First Thursday in April, June, October (Installation) and December",,https://durhamfreemasons.org/lodges/lodge.php?slug=winlaton-st-pauls
durham,craft_lodge,8953,Saint Peters Lodge,SR2 7DX,"Second Tuesday in March, April, May, September, October (Installation) and November",,https://durhamfreemasons.org/lodges/lodge.php?slug=saint-peters-l8953
durham,craft_lodge,8956,Lodge of Jurists,DL3 6LS,"We meet 4 times a year, on the penultimate Thursday in February, April and October (Installation) and the last Thursday in June.",,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-of-jurists-l8956
